id;first_name;last_name;email;joined_date
1;Jerod;Kassulke;Rosie86@gmail.com;2025-01-25
2;Zander;Runolfsson;Caroline33@gmail.com;2025-01-25
3;Dagmar;Dibbert;Delia_Flatley@hotmail.com;2025-01-25
4;Dandre;Bartoletti;Lindsay_Ankunding23@hotmail.com;2025-01-25
5;Keeley;Schiller;Laurie_Bartoletti@yahoo.com;2025-01-25
6;Urban;Koelpin;Karlee.Harvey43@hotmail.com;2025-01-25
7;Ashtyn;Abernathy;Clifton46@gmail.com;2025-01-25
8;Carmela;Balistreri;Gia93@hotmail.com;2025-01-25
9;Gregg;Weimann;Kathryne79@gmail.com;2025-01-25
10;Kim;Mosciski;Cheyanne69@gmail.com;2025-01-25
